agent,player,matchup_label,mean_reward,ci_lower,ci_upper,n_hands
BeliefEVAgent,0,belief_calibration_aggressive,175.075,168.625,181.500625,2000
HeuristicAgent,1,belief_calibration_aggressive,98.475,91.1175,106.203125,2000
BeliefEVAgent,0,belief_calibration_balanced,179.725,172.89875,186.50187499999998,2000
HeuristicAgent,1,belief_calibration_balanced,96.6,89.474375,104.325625,2000
BeliefEVAgent,0,belief_calibration_maniac,172.35,165.65,179.101875,2000
HeuristicAgent,1,belief_calibration_maniac,97.35,89.823125,104.900625,2000
